customer_id,name,age,gender,signup_date,country,income,purchase_amount,email,phone,product_category,rating
0,Grace,150,M,2022-12-17,Australia,80084.38,error,user0@mail,+91-985410930,electronics,1
1,bob,61,M,02-26-2020,India,68858.96,error,user1@mail,N/A,Home,1
33,bob,unknown,Male,2022-02-05,Canada,102744.82,1353.0,user2@mail,9831598012,clothes,five
13,Judy,69,,02/10/2020,Australia,-5000,,user3@example.com,N/A,Sports,
4,Judy,,male,2022-05-23,india,-5000,error,,N/A,electronics,2
7,David ,42,M,2024-11-23,Canada,N/A,error,,9866115031,Home,five
6,CHARLIE,21,M,2022-06-08,Australia,,error,user6@mail,9874290393,clothes,2
7,Alice,69,male,2020-11-08,UK,,1146.64,user7@mail,,Sports,3
8,David ,65,M,08/09/2021,uk ,67751.67,1871.27,,9884423724,home ,3
25,bob,59,F,2022-05-04,Australia,N/A,,user9@example.com,,home ,3
17,Ivan,,Male,2022-12-21,U.S.A,N/A,error,user10example.com,9816098130,Home,3
11,Alice,150,F,2023-06-04,Canada,N/A,error,user11example.com,9893057846,electronics,4
50,Grace,150,Female,09-18-2022,Canada,N/A,,user12@mail,+91-981799292,home ,five
27, eva,,Female,2020-12-17,india,-5000,,user13example.com,+91-987600294,Electronics,
14,Judy,150,Female,2022-11-18,UK,62294.6,1129.46,,+91-985637378,Sports,
19,Grace,unknown,M,01-29-2024,UK,44369.15,error,user15@example.com,9854485452,Home,five
33,David ,,Female,2020-09-16,CANADA,-5000,,user16example.com,N/A,Home,
17,Frank,150,F,29/04/2020,U.S.A,N/A,,user17@mail,,clothes,5
18,David ,37,M,2022-08-29,USA,N/A,,user18@mail,N/A,clothes,1
42,Heidi,,Male,2020-07-01,CANADA,85109.02,error,,N/A,clothes,3
14,Ivan,150,Female,21/01/2024,Australia,83265.81,67.67,user20example.com,+91-982908296,clothes,2
21,Grace,unknown,,2024-07-20,Canada,N/A,42.26,user21@mail,9892609715,Home,five
34,CHARLIE,,F,2023-05-24,Australia,96570.61,1944.81,user22@mail,+91-983398841,Clothing,5
28,CHARLIE,,M,2022-06-03,U.S.A,N/A,1609.26,user23example.com,9821310034,Sports,3
24, eva,150,female,2022-10-15,India,98322.06,,user24@mail,+91-981978623,Home,2
25,CHARLIE,unknown,male,2024-07-30,Australia,-5000,error,user25example.com,+91-984143891,electronics,1
26,Judy,,M,26/09/2024,CANADA,-5000,,,,Electronics,5
25,Ivan,,F,14/11/2024,uk ,-5000,787.03,user27example.com,N/A,clothes,4
22,Judy,150,male,12-05-2024,UK,N/A,,user28@example.com,,clothes,3
29,Ivan,29,F,2019-05-27,uk ,-5000,,user29@mail,,Home,4
30,Judy,unknown,M,28/06/2024,Australia,N/A,,,N/A,Sports,1
31, eva,61,Female,2023-11-10,USA,N/A,,user31@example.com,9876917643,Electronics,
32, eva,unknown,Male,05/04/2021,Australia,N/A,1630.08,user32@example.com,+91-987507256,clothes,5
33,Ivan,,male,2022-08-17,U.S.A,,,,+91-986194345,electronics,4
34, eva,,M,2024-02-23,U.S.A,N/A,error,user34@example.com,9828884821,Home,3
35,bob,64,,2022-03-03,uk ,-5000,,,9855512341,electronics,4
6,bob,150,Female,2021-12-03,india,-5000,error,user36@example.com,N/A,electronics,five
37, eva,52,Male,2024-04-13,uk ,,error,,9883180002,Sports,1
38,David ,42,male,2021-06-13,uk ,N/A,error,user38example.com,,electronics,4
39,Grace,150,female,2022-04-09,Australia,-5000,error,user39example.com,N/A,clothes,
40,David ,,F,2021-10-20,India,21413.17,,user40@example.com,,Home,five
41,Alice,150,M,2022-03-13,Canada,,error,user41@example.com,,home ,5
10, eva,,male,2023-08-03,Canada,103595.89,error,,+91-989230443,home ,
43,Frank,150,M,01-21-2021,UK,N/A,,user43example.com,9870081223,clothes,4
44,Frank,,M,05/06/2022,Canada,-5000,824.97,,N/A,electronics,five
45,Heidi,unknown,M,2022-05-17,CANADA,111712.51,,user45@mail,,clothes,five
46,Alice,unknown,Female,23/01/2021,india,41317.43,error,user46@example.com,9812286697,Sports,5
47,Judy,,,2022-09-30,UK,N/A,271.5,user47@mail,9864192907,Home,
48,Grace,unknown,,2021-08-15,india,-5000,error,user48@example.com,9836882049,Clothing,5
49,Alice,150,Female,2022-01-23,U.S.A,-5000,,user49@example.com,+91-983955905,Electronics,4
10,Ivan,,male,2022-10-14,uk ,,error,,,clothes,1
51,bob,52,female,2023-07-15,India,,,user51@mail,N/A,clothes,4
52,bob,unknown,Male,2022-03-05,U.S.A,,error,user52@mail,N/A,Home,1
53, eva,150,Male,2019-11-10,UK,,error,user53example.com,+91-989505430,home ,
5,Grace,,,2023-09-09,Canada,,error,user54@example.com,,Sports,5
55,CHARLIE,150,Male,03-24-2019,Canada,-5000,1722.42,user55@example.com,9828858354,Clothing,5
56,Frank,unknown,Male,2024-09-30,U.S.A,40005.84,,user56example.com,,Sports,1
