CustomerID,Name,Age,Salary,City,Email,JoiningDate
0, riya ,,116530,,riya48@gmail.com,2023/04/20
139, rohit ,32.0,,,rohit42@gmail.com,15/02/2023
2,Anjali,,-10000,Chandigarh,anjali18@gmail.com,March 10 2023
3, riya ,-3.0,-10000,Kolkata,riya8@gmail.com,2023/04/20
58,Karan,,112349,Delhi,karan43@gmail.com,2023-01-15
5,Simran,-3.0,Not Available,Chandigarh,simran14@gmail.com,2023/04/20
6, Raj ,0.0,,,raj21@gmail.com,2023-01-15
7, Priya ,-3.0,-10000,Bangalore,priya42@gmail.com,March 10 2023
35,raj,0.0,-10000,Chandigarh,raj15@gmail.com,2023-01-15
119, Aman ,0.0,98172,Bangalore,aman25@gmail.com,2023/04/20
10, Aman ,-3.0,Not Available,Delhi,aman19@gmail.com,
11,Aman,,86542,,aman20@gmail.com,15/02/2023
28,Priya,51.0,Not Available,Bangalore,priya2@gmail.com,March 10 2023
13,simran,23.0,-10000,Delhi,simran49@gmail.com,15/02/2023
102, Anjali ,0.0,,,anjali20@gmail.com,
15, anjali ,39.0,,Kolkata,anjali15@gmail.com,2023-01-15
16, simran ,39.0,,Chandigarh,simran43@gmail.com,2023/04/20
17,Raj,0.0,-10000,Bangalore,raj13@gmail.com,
18,Priya,21.0,-10000,,priya22@gmail.com,15/02/2023
19, Simran ,-3.0,,Delhi,simran29@gmail.com,2023-01-15
20,Aman,,-10000,Bangalore,aman14@gmail.com,15/02/2023
21,rohit,-3.0,-10000,Mumbai,rohit13@gmail.com,2023-01-15
22, Aman ,0.0,,Delhi,aman33@gmail.com,2023-01-15
107, Riya ,,95880,Kolkata,riya6@gmail.com,March 10 2023
24,Simran,0.0,Not Available,Bangalore,simran21@gmail.com,
25, riya ,,65745,Mumbai,riya24@gmail.com,
34,Karan,59.0,Not Available,,karan7@gmail.com,2023-01-15
67, Riya ,,Not Available,Mumbai,riya44@gmail.com,March 10 2023
28,aman,35.0,Not Available,Mumbai,aman41@gmail.com,
